date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:37	603/603	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Nov%202017%2023:34:35%20GMT	http://project-redspace.com/robots.txt		(from )
11:20:38	33974/33974	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Dec%202017%2019:42:06%20GMT	http://project-redspace.com/	C:/My%20Web%20Sites/redspace/project-redspace.com/index.html	(from )
11:20:39	123069/123069	---MCZ	200	added ('OK')	text/css	etag:W/%225a28480f-1e0bd%22	http://project-redspace.com/css/main.css	C:/My%20Web%20Sites/redspace/project-redspace.com/css/main.css	(from http://project-redspace.com/)
11:20:41	21180/21180	---M--	200	added ('OK')	image/png	etag:%225a2324e8-52bc%22	http://project-redspace.com/images/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/redspace/project-redspace.com/images/favicons/apple-touch-icon.png	(from http://project-redspace.com/)
11:20:42	1760/1760	---M--	200	added ('OK')	image/png	etag:%225a2324e9-6e0%22	http://project-redspace.com/images/favicons/favicon-32x32.png	C:/My%20Web%20Sites/redspace/project-redspace.com/images/favicons/favicon-32x32.png	(from http://project-redspace.com/)
11:20:43	1152/1152	---M--	200	added ('OK')	image/png	etag:%225a2324e9-480%22	http://project-redspace.com/images/favicons/favicon-16x16.png	C:/My%20Web%20Sites/redspace/project-redspace.com/images/favicons/favicon-16x16.png	(from http://project-redspace.com/)
11:20:43	268/268	---MCZ	200	added ('OK')	application/json	etag:W/%222440e3-10c-55f62c201c84c%22	http://project-redspace.com/images/favicons/manifest.json	C:/My%20Web%20Sites/redspace/project-redspace.com/images/favicons/manifest.json	(from http://project-redspace.com/)
11:20:44	816/816	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222440e5-330-55f62c20769b4%22	http://project-redspace.com/images/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/favicons/safari-pinned-tab.svg	(from http://project-redspace.com/)
11:20:45	7383/7383	---M--	200	added ('OK')	image/png	etag:%225a2324c0-1cd7%22	http://project-redspace.com/images/loading-car.png	C:/My%20Web%20Sites/redspace/project-redspace.com/images/loading-car.png	(from http://project-redspace.com/)
11:20:45	30015/30015	---MCZ	200	added ('OK')	text/javascript	etag:W/%225a28480e-753f%22	http://project-redspace.com/js/index.js	C:/My%20Web%20Sites/redspace/project-redspace.com/js/index.js	(from http://project-redspace.com/)
11:20:46	1093/1093	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a2324bc-445%22	http://project-redspace.com/images/icon-close.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/icon-close.svg	(from http://project-redspace.com/)
11:20:46	1003/1003	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22102795-3eb-55f62bf58ef6c%22	http://project-redspace.com/images/icon-play.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/icon-play.svg	(from http://project-redspace.com/)
11:20:56	948/948	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22102794-3b4-55f62bf56ad4c%22	http://project-redspace.com/images/icon-pause.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/icon-pause.svg	(from http://project-redspace.com/)
11:20:57	1089/1089	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a2324bc-441%22	http://project-redspace.com/images/icon-mute.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/icon-mute.svg	(from http://project-redspace.com/)
11:20:58	1358/1358	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a2324bf-54e%22	http://project-redspace.com/images/icon-unmute.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/icon-unmute.svg	(from http://project-redspace.com/)
11:22:07	510233/510233	---M--	200	added ('OK')	image/jpeg	etag:%225a2324c3-7c919%22	http://project-redspace.com/images/main-video-poster.jpg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/main-video-poster.jpg	(from http://project-redspace.com/)
11:22:57	2161/2161	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a2324bd-871%22	http://project-redspace.com/images/icon-share.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/icon-share.svg	(from http://project-redspace.com/)
11:22:58	1535/1535	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a2324bd-5ff%22	http://project-redspace.com/images/icon-social-facebook.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/icon-social-facebook.svg	(from http://project-redspace.com/)
11:22:59	2254/2254	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a2324be-8ce%22	http://project-redspace.com/images/icon-social-twitter.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/icon-social-twitter.svg	(from http://project-redspace.com/)
11:22:59	1095/1095	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a2324bc-447%22	http://project-redspace.com/images/icon-menu.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/icon-menu.svg	(from http://project-redspace.com/)
11:23:00	1017/1017	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2210278e-3f9-55f62bf474bcc%22	http://project-redspace.com/images/icon-arrow-downward.svg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/icon-arrow-downward.svg	(from http://project-redspace.com/)
11:23:06	211350/211350	---M--	200	added ('OK')	image/jpeg	etag:%225a2324c4-33996%22	http://project-redspace.com/images/photo-subcar-poster.jpg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/photo-subcar-poster.jpg	(from http://project-redspace.com/)
11:23:16	358429/358429	---M--	200	added ('OK')	image/jpeg	etag:%225a2324ca-5781d%22	http://project-redspace.com/images/photo-subdesign-poster.jpg	C:/My%20Web%20Sites/redspace/project-redspace.com/images/photo-subdesign-poster.jpg	(from http://project-redspace.com/)
