HTTrack3.49-2+htsswf+htsjava launched on Tue, 13 Feb 2018 11:20:35 at http://project-redspace.com +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://project-redspace.com -O1 "C:\My Web Sites\redspace" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

11:45:58	Warning: 	Retry after error -5 (error:00000005:lib(0):func(0):DH lib) at link https://connect.facebook.net/en_US/fbevents.js (from project-redspace.com/)
11:45:59	Warning: 	Retry after error -4 (Incorrect length (674707 Bytes, 118974773 expected)) at link project-redspace.com/videos/video-main-large.webm (from project-redspace.com/)
11:45:59	Warning: 	Retry after error -4 (Incorrect length (666678 Bytes, 101359283 expected)) at link project-redspace.com/videos/video-main-large.mp4 (from project-redspace.com/)
11:45:59	Warning: 	Retry after error -4 (Incorrect length (621850 Bytes, 15903775 expected)) at link project-redspace.com/videos/video-looping-home-bg.webm (from project-redspace.com/)
11:45:59	Warning: 	Retry after error -4 (Incorrect length (197100 Bytes, 18851126 expected)) at link project-redspace.com/videos/video-looping-home-bg.mp4 (from project-redspace.com/)
11:46:00	Warning: 	Retry after error -4 (No data (connection closed)) at link project-redspace.com/images/shape-home-01-front.svg (from project-redspace.com/)
11:46:00	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/shape-home-01-back.svg (from project-redspace.com/)
11:46:00	Error: 	"Not Found" (404) at link project-redspace.com/videos/video-dashboard-poster.mp4 (from project-redspace.com/)
11:46:00	Warning: 	Retry after error -4 (Incorrect length (1718496 Bytes, 2844593 expected)) at link project-redspace.com/videos/video-9010.mp4 (from project-redspace.com/)
11:46:00	Warning: 	Retry after error -4 (Incorrect length (1627271 Bytes, 2671228 expected)) at link project-redspace.com/videos/video-9010.webm (from project-redspace.com/)
11:46:00	Warning: 	Retry after error -4 (Incorrect length (1505324 Bytes, 2722824 expected)) at link project-redspace.com/videos/video-socialmedia.mp4 (from project-redspace.com/)
11:46:00	Warning: 	Retry after error -4 (Incorrect length (1360271 Bytes, 2678073 expected)) at link project-redspace.com/videos/video-socialmedia.webm (from project-redspace.com/)
11:46:00	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/video-designprocess-poster.jpg (from project-redspace.com/)
11:46:00	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/videos/video-designprocess.mp4 (from project-redspace.com/)
11:46:01	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/videos/video-designprocess.webm (from project-redspace.com/)
11:46:01	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/logo-chtcmotors.svg (from project-redspace.com/)
11:46:01	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/photo-subdesign-chtcmotors.jpg (from project-redspace.com/)
11:46:01	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/logo-chrisbangleassoc.png (from project-redspace.com/)
11:46:01	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/photo-subdesign-chrisbangle.jpg (from project-redspace.com/)
11:46:01	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/reds-logo.png (from project-redspace.com/)
11:46:01	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/zh-Hans (from project-redspace.com/)
11:46:01	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/icon-social-instagram.svg (from project-redspace.com/)
11:46:03	Warning: 	Retry after error -4 (Connect Error) at link https://connect.facebook.net/en_US/fbevents.js (from project-redspace.com/)
11:46:03	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/fonts/inconsolata-regular.ttf (from project-redspace.com/css/main.css)
11:46:03	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/fonts/geometria-regular-webfont.woff (from project-redspace.com/css/main.css)
11:46:10	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/fonts/geometria-regular-webfont.woff2 (from project-redspace.com/css/main.css)
11:46:11	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/fonts/geometria-bold-webfont.woff (from project-redspace.com/css/main.css)
11:46:12	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/fonts/geometria-bold-webfont.woff2 (from project-redspace.com/css/main.css)
11:46:12	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/fonts/geometria-extablack-webfont.woff (from project-redspace.com/css/main.css)
11:46:15	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/fonts/geometria-extablack-webfont.woff2 (from project-redspace.com/css/main.css)
11:46:16	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/videos/video-main-large.webm (from project-redspace.com/)
11:46:16	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/videos/video-main-large.mp4 (from project-redspace.com/)
11:46:17	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/videos/video-looping-home-bg.webm (from project-redspace.com/)
11:46:19	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/videos/video-looping-home-bg.mp4 (from project-redspace.com/)
12:27:28	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/shape-home-01-front.svg (from project-redspace.com/)
12:27:33	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/shape-home-01-back.svg (from project-redspace.com/)
12:27:34	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/videos/video-9010.mp4 (from project-redspace.com/)
12:30:37	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/videos/video-9010.webm (from project-redspace.com/)
12:33:10	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/videos/video-socialmedia.mp4 (from project-redspace.com/)
12:33:20	Warning: 	file not stored in cache due to bogus state (broken size, expected 18851126 got 17549624): project-redspace.com/videos/video-looping-home-bg.mp4
12:33:20	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/videos/video-socialmedia.webm (from project-redspace.com/)
12:34:29	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/video-designprocess-poster.jpg (from project-redspace.com/)
12:35:10	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/videos/video-designprocess.mp4 (from project-redspace.com/)
12:35:47	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/videos/video-designprocess.webm (from project-redspace.com/)
12:36:13	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/logo-chtcmotors.svg (from project-redspace.com/)
12:36:15	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/photo-subdesign-chtcmotors.jpg (from project-redspace.com/)
12:36:46	Warning: 	Retry after error -4 (Connect Error) at link project-redspace.com/images/logo-chrisbangleassoc.png (from project-redspace.com/)
12:36:48	Error: 	"Not Found" (404) at link project-redspace.com/zh-Hans (from project-redspace.com/)
12:36:48	Error: 	"error:00000005:lib(0):func(0):DH lib" (-5) after 2 retries at link https://connect.facebook.net/en_US/fbevents.js (from project-redspace.com/)
12:36:48	Error: 	"Receive Time Out" (-2) after 2 retries at link project-redspace.com/videos/video-main-large.webm (from project-redspace.com/)
12:37:08	Error: 	"Receive Time Out" (-2) after 2 retries at link project-redspace.com/videos/video-main-large.mp4 (from project-redspace.com/)
12:37:08	Error: 	"Incorrect length (17549624 Bytes, 18851126 expected)" (-4) after 2 retries at link project-redspace.com/videos/video-looping-home-bg.mp4 (from project-redspace.com/)
12:37:28	Error: 	"Incorrect length (1099008 Bytes, 1211647 expected)" (-4) after 2 retries at link project-redspace.com/videos/video-designprocess.mp4 (from project-redspace.com/)
12:37:28	Error: 	"Incorrect length (802371 Bytes, 1409138 expected)" (-4) after 2 retries at link project-redspace.com/videos/video-designprocess.webm (from project-redspace.com/)

HTTrack Website Copier/3.49-2 mirror complete in 1 hours 16 minutes 53 seconds : 143 links scanned, 89 files written (55265753 bytes overall) [111342628 bytes received at 24136 bytes/sec], 735354 bytes transferred using HTTP compression in 48 files, ratio 39%, 1.1 requests per connection
(8 errors, 46 warnings, 0 messages)
